time,number_of_objects
7/31/2022,16
8/1/2022,67
8/2/2022,124
8/3/2022,46
8/4/2022,68
8/5/2022,55
8/6/2022,32
8/7/2022,40
8/8/2022,44
8/9/2022,80
8/10/2022,111
8/11/2022,64
8/12/2022,88
8/13/2022,56
8/14/2022,80
8/15/2022,24
8/16/2022,72
8/17/2022,40
8/18/2022,37
8/19/2022,48
8/20/2022,16
8/21/2022,71
8/22/2022,39
8/23/2022,16
8/24/2022,16
8/25/2022,15
8/26/2022,17
8/27/2022,24
8/28/2022,31
8/29/2022,39
8/30/2022,40
8/31/2022,8
9/1/2022,16
9/2/2022,16
9/3/2022,8
9/4/2022,16
9/5/2022,72
9/6/2022,40
9/7/2022,24
9/8/2022,11
9/9/2022,27
9/10/2022,16
9/11/2022,16
9/12/2022,0
9/13/2022,16
9/14/2022,8
9/15/2022,16
9/16/2022,32
9/17/2022,8
